timestamp,soilPercent,waterPercent,temp,hum,pumpOn,timeSynced
2025-10-01 00:00:00,26.5,0.0,30.4,40.3,0,1
2025-10-01 01:00:00,40.1,3.4,22.3,64.6,1,1
2025-10-01 02:00:00,46.2,24.4,24.8,65.2,0,1
2025-10-01 03:00:00,46.3,56.5,23.3,42.9,0,1
2025-10-01 04:00:00,33.9,11.2,20.9,46.8,0,1
2025-10-01 05:00:00,42.7,38.5,23.6,79.2,0,1
2025-10-01 06:00:00,25.9,20.9,19.2,29.9,0,1
2025-10-01 07:00:00,28.1,12.4,25.4,55.2,0,1
2025-10-01 08:00:00,52.6,27.4,27.2,69.3,0,1
2025-10-01 09:00:00,43.3,26.3,19.6,65.9,0,1
2025-10-01 10:00:00,43.7,44.8,21.9,77.9,0,1
2025-10-01 11:00:00,41.4,49.9,18.8,60.9,0,1
ms:1761899656401,45.5,30.6,19.9,57.4,0,0
2025-10-01 13:00:00,43.5,12.6,23.1,57.8,0,1
2025-10-01 14:00:00,32.9,26.3,21.4,41.2,0,1
2025-10-01 15:00:00,33.6,27.3,20.5,70.6,0,1
2025-10-01 16:00:00,26.6,15.2,18.3,65.7,0,1
ms:1761917656401,45.3,35.3,23.4,58.5,0,0
2025-10-01 18:00:00,24.0,37.1,18.8,59.2,0,1
2025-10-01 19:00:00,51.2,38.8,20.4,49.0,0,1
2025-10-01 20:00:00,32.0,48.6,24.7,42.7,0,1
2025-10-01 21:00:00,41.5,41.5,17.8,45.5,0,1
2025-10-01 22:00:00,25.4,53.1,17.3,56.9,1,1
2025-10-01 23:00:00,45.7,33.0,19.2,47.0,0,1
2025-10-02 00:00:00,53.3,34.4,23.8,32.4,0,1
2025-10-02 01:00:00,49.5,48.1,17.1,45.6,0,1
ms:1761950056401,27.3,48.4,20.6,50.0,0,0
2025-10-02 03:00:00,40.4,33.2,26.7,72.5,0,1
2025-10-02 04:00:00,34.9,68.3,20.5,51.8,0,1
2025-10-02 05:00:00,12.5,35.1,20.1,59.8,0,1
2025-10-02 06:00:00,28.8,31.3,17.3,70.8,0,1
2025-10-02 07:00:00,36.6,7.5,22.8,63.0,0,1
2025-10-02 08:00:00,46.2,27.2,26.9,42.7,0,1
2025-10-02 09:00:00,58.7,42.4,22.1,64.6,0,1
2025-10-02 10:00:00,33.4,48.2,22.3,50.0,0,1
2025-10-02 11:00:00,31.9,15.5,25.4,39.9,0,1
2025-10-02 12:00:00,29.6,60.1,29.0,63.8,1,1
2025-10-02 13:00:00,56.1,46.8,22.7,44.8,0,1
2025-10-02 14:00:00,46.2,10.6,16.9,38.9,0,1
2025-10-02 15:00:00,43.4,28.8,21.2,40.1,0,1
2025-10-02 16:00:00,49.1,16.8,26.2,46.8,0,1
2025-10-02 17:00:00,20.7,39.9,24.2,40.8,0,1
ms:1762007656401,32.5,34.4,22.6,49.5,0,0
2025-10-02 19:00:00,18.3,41.1,27.8,50.0,0,1
2025-10-02 20:00:00,53.7,29.1,23.6,45.1,0,1
2025-10-02 21:00:00,31.7,43.9,28.6,63.9,0,1
2025-10-02 22:00:00,45.9,40.0,17.4,45.5,0,1
2025-10-02 23:00:00,34.0,12.4,20.4,45.3,0,1
2025-10-03 00:00:00,46.6,13.0,22.2,44.8,0,1
2025-10-03 01:00:00,43.6,27.8,22.7,53.5,0,1
2025-10-03 02:00:00,37.4,26.7,22.7,38.5,0,1
ms:1762040056401,50.5,12.3,21.5,44.4,0,0
2025-10-03 04:00:00,22.5,17.2,21.4,49.4,0,1
2025-10-03 05:00:00,37.0,41.4,25.9,57.6,0,1
2025-10-03 06:00:00,24.2,33.0,15.8,55.0,1,1
2025-10-03 07:00:00,37.9,21.5,29.9,65.0,0,1
2025-10-03 08:00:00,24.2,38.2,18.8,44.6,0,1
2025-10-03 09:00:00,45.6,32.8,20.6,71.2,0,1
ms:1762065256401,47.1,26.7,19.1,65.8,0,0
2025-10-03 11:00:00,55.7,37.0,20.4,57.3,0,1
ms:1762072456401,55.8,29.8,22.1,43.2,0,0
2025-10-03 13:00:00,41.4,45.5,24.6,73.2,0,1
2025-10-03 14:00:00,30.0,6.5,20.2,56.6,0,1
2025-10-03 15:00:00,49.5,0.0,27.6,48.0,0,1
ms:1762086856401,39.9,30.2,21.4,51.8,0,0
2025-10-03 17:00:00,26.6,51.9,24.8,66.9,0,1
2025-10-03 18:00:00,74.1,27.7,27.4,51.2,0,1
2025-10-03 19:00:00,48.6,25.5,22.4,62.3,0,1
2025-10-03 20:00:00,43.2,28.4,23.1,53.2,0,1
2025-10-03 21:00:00,37.9,43.3,20.9,42.4,0,1
ms:1762108456401,44.5,36.5,23.3,59.4,0,0
2025-10-03 23:00:00,55.7,17.5,23.9,68.3,0,1
2025-10-04 00:00:00,63.5,19.4,23.5,43.0,0,1
2025-10-04 01:00:00,23.6,61.0,14.9,53.1,0,1
2025-10-04 02:00:00,66.9,44.8,22.3,65.9,0,1
2025-10-04 03:00:00,58.0,46.5,25.0,52.8,0,1
